,,,,,,,,
,,,Salary,Salary,Salary,Salary,Salary,Salary
,Rk,Team,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
,1,Portland Trail Blazers,$138765934.00,$109958442.00,$95713685.00,$87599310.00,$89396898.00,$54250000.00
,2,Milwaukee Bucks,$135025925.00,$132270360.00,$86685346.00,$71230252.00,$40396552.00,
,3,Miami Heat,$134341791.00,$82443429.00,$63800306.00,$43375416.00,,
,4,Oklahoma City Thunder,$133664718.00,$105489351.00,$55738605.00,$7194510.00,,
,5,Los Angeles Clippers,$133474030.00,$113852099.00,$108847187.00,$13372683.00,,
,6,Orlando Magic,$133220515.00,$122286739.00,$76234967.00,$33500000.00,,
,7,Minnesota Timberwolves,$132512645.00,$96033518.00,$86842098.00,$77138175.00,$35970000.00,
,8,Golden State Warriors,$131527930.00,$148884768.00,$158865097.00,$105855399.00,$70805665.00,
,9,Denver Nuggets,$130763093.00,$107995708.00,$104503922.00,$66408837.00,$36270000.00,$38610000.00
,10,Washington Wizards,$130655276.00,$101202411.00,$108184168.00,$90397488.00,,
,11,Detroit Pistons,$130445720.00,$70172303.00,$42570708.00,$5539771.00,,
,12,Cleveland Cavaliers,$130325319.00,$109213529.00,$71168426.00,$64891181.00,$6650000.00,
,13,Philadelphia 76ers,$130273147.00,$147066848.00,$147372144.00,$138906774.00,$77235517.00,$38610000.00
,14,Houston Rockets,$129372022.00,$130481438.00,$124689651.00,$113225101.00,$20917902.00,
,15,Memphis Grizzlies,$128593098.00,$113107635.00,$82224845.00,$27863360.00,,
,16,Brooklyn Nets,$127379136.00,$142051521.00,$137833133.00,$107900288.00,,
,17,Los Angeles Lakers,$125109724.00,$119476054.00,$45992273.00,,,
,18,Charlotte Hornets,$124399147.00,$80967575.00,$32889739.00,$7739116.00,,
,19,San Antonio Spurs,$123174560.00,$117923795.00,$26233394.00,$25001437.00,$17714286.00,
,20,Toronto Raptors,$123108207.00,$86093110.00,$46500570.00,$33640000.00,$35960000.00,
,21,Utah Jazz,$121899425.00,$117859175.00,$44943813.00,$28871429.00,$9964286.00,
,22,Dallas Mavericks,$121867856.00,$108221166.00,$84089411.00,$63206355.00,$36016200.00,
,23,Boston Celtics,$121225607.00,$140567010.00,$87145456.00,$76287019.00,$28601786.00,
,24,Phoenix Suns,$120896498.00,$91731595.00,$78044717.00,$45828637.00,$35970000.00,
,25,Sacramento Kings,$117390118.00,$96484325.00,$68456099.00,$38875000.00,$18568182.00,
,26,New Orleans Pelicans,$117325921.00,$83201113.00,$46363160.00,$25347462.00,,
,27,Indiana Pacers,$114708526.00,$124006218.00,$93096851.00,$65302839.00,$21312500.00,
,28,Chicago Bulls,$114665634.00,$106082586.00,$65249867.00,$9344636.00,,
,29,Atlanta Hawks,$114377720.00,$59403929.00,$58684820.00,$35377292.00,,
,30,New York Knicks,$109714940.00,$99632325.00,$44286242.00,$10900635.00,,
